"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2016-2020","Ratio to State Median","Median Home Value",1.06
"Andover","0901301080","2016-2020","Ratio to State Median","Margins of Error",0.09
"Ansonia","0900901220","2006-2010","Number","Median Home Value",267300
"Ansonia","0900901220","2006-2010","Number","Margins of Error",7653
"Ansonia","0900901220","2006-2010","Ratio to State Median","Median Home Value",0.9
"Ansonia","0900901220","2006-2010","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2007-2011","Number","Median Home Value",264500
"Ansonia","0900901220","2007-2011","Number","Margins of Error",8966
"Ansonia","0900901220","2007-2011","Ratio to State Median","Median Home Value",0.9
"Ansonia","0900901220","2007-2011","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2008-2012","Number","Median Home Value",253200
"Ansonia","0900901220","2008-2012","Number","Margins of Error",9172
"Ansonia","0900901220","2008-2012","Ratio to State Median","Median Home Value",0.89
"Ansonia","0900901220","2008-2012","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2009-2013","Number","Median Home Value",232900
"Ansonia","0900901220","2009-2013","Number","Margins of Error",8310
"Ansonia","0900901220","2009-2013","Ratio to State Median","Median Home Value",0.84
"Ansonia","0900901220","2009-2013","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2010-2014","Number","Median Home Value",219200
"Ansonia","0900901220","2010-2014","Number","Margins of Error",6314
"Ansonia","0900901220","2010-2014","Ratio to State Median","Median Home Value",0.8
"Ansonia","0900901220","2010-2014","Ratio to State Median","Margins of Error",0.02
"Ansonia","0900901220","2011-2015","Number","Median Home Value",216500
"Ansonia","0900901220","2011-2015","Number","Margins of Error",7847
"Ansonia","0900901220","2011-2015","Ratio to State Median","Median Home Value",0.8
"Ansonia","0900901220","2011-2015","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2012-2016","Number","Median Home Value",214800
"Ansonia","0900901220","2012-2016","Number","Margins of Error",7879
"Ansonia","0900901220","2012-2016","Ratio to State Median","Median Home Value",0.8
"Ansonia","0900901220","2012-2016","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2013-2017","Number","Median Home Value",208700
"Ansonia","0900901220","2013-2017","Number","Margins of Error",10772
"Ansonia","0900901220","2013-2017","Ratio to State Median","Median Home Value",0.77
"Ansonia","0900901220","2013-2017","Ratio to State Median","Margins of Error",0.04
"Ansonia","0900901220","2014-2018","Number","Median Home Value",211100
"Ansonia","0900901220","2014-2018","Number","Margins of Error",12288
"Ansonia","0900901220","2014-2018","Ratio to State Median","Median Home Value",0.77
"Ansonia","0900901220","2014-2018","Ratio to State Median","Margins of Error",0.05
"Ansonia","0900901220","2015-2019","Number","Median Home Value",214200
"Ansonia","0900901220","2015-2019","Number","Margins of Error",9012
"Ansonia","0900901220","2015-2019","Ratio to State Median","Median Home Value",0.78
"Ansonia","0900901220","2015-2019","Ratio to State Median","Margins of Error",0.03
"Ansonia","0900901220","2016-2020","Number","Median Home Value",217800
"Ansonia","0900901220","2016-2020","Number","Margins of Error",10106
"Ansonia","0900901220","2016-2020","Ratio to State Median","Median Home Value",0.78
"Ansonia","0900901220","2016-2020","Ratio to State Median","Margins of Error",0.04
"Ashford","0901501430","2006-2010","Number","Median Home Value",267900
"Ashford","0901501430","2006-2010","Number","Margins of Error",17514
"Ashford","0901501430","2006-2010","Ratio to State Median","Median Home Value",0.9
"Ashford","0901501430","2006-2010","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2007-2011","Number","Median Home Value",267400
"Ashford","0901501430","2007-2011","Number","Margins of Error",18057
"Ashford","0901501430","2007-2011","Ratio to State Median","Median Home Value",0.91
"Ashford","0901501430","2007-2011","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2008-2012","Number","Median Home Value",256800
"Ashford","0901501430","2008-2012","Number","Margins of Error",18227
"Ashford","0901501430","2008-2012","Ratio to State Median","Median Home Value",0.9
"Ashford","0901501430","2008-2012","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2009-2013","Number","Median Home Value",238000
"Ashford","0901501430","2009-2013","Number","Margins of Error",14259
"Ashford","0901501430","2009-2013","Ratio to State Median","Median Home Value",0.85
"Ashford","0901501430","2009-2013","Ratio to State Median","Margins of Error",0.05
"Ashford","0901501430","2010-2014","Number","Median Home Value",233000
"Ashford","0901501430","2010-2014","Number","Margins of Error",9691
"Ashford","0901501430","2010-2014","Ratio to State Median","Median Home Value",0.85
"Ashford","0901501430","2010-2014","Ratio to State Median","Margins of Error",0.04
"Ashford","0901501430","2011-2015","Number","Median Home Value",232000
"Ashford","0901501430","2011-2015","Number","Margins of Error",14014
"Ashford","0901501430","2011-2015","Ratio to State Median","Median Home Value",0.86
"Ashford","0901501430","2011-2015","Ratio to State Median","Margins of Error",0.05
"Ashford","0901501430","2012-2016","Number","Median Home Value",237600
"Ashford","0901501430","2012-2016","Number","Margins of Error",15394
"Ashford","0901501430","2012-2016","Ratio to State Median","Median Home Value",0.88
"Ashford","0901501430","2012-2016","Ratio to State Median","Margins of Error",0.06
"Ashford","0901501430","2013-2017","Number","Median Home Value",240000
"Ashford","0901501430","2013-2017","Number","Margins of Error",18843
"Ashford","0901501430","2013-2017","Ratio to State Median","Median Home Value",0.89
"Ashford","0901501430","2013-2017","Ratio to State Median","Margins of Error",0.07
"Ashford","0901501430","2014-2018","Number","Median Home Value",235400
"Ashford","0901501430","2014-2018","Number","Margins of Error",22779
"Ashford","0901501430","2014-2018","Ratio to State Median","Median Home Value",0.86
"Ashford","0901501430","2014-2018","Ratio to State Median","Margins of Error",0.08
"Ashford","0901501430","2015-2019","Number","Median Home Value",233300
"Ashford","0901501430","2015-2019","Number","Margins of Error",30785
"Ashford","0901501430","2015-2019","Ratio to State Median","Median Home Value",0.85
"Ashford","0901501430","2015-2019","Ratio to State Median","Margins of Error",0.11
"Ashford","0901501430","2016-2020","Number","Median Home Value",271700
"Ashford","0901501430","2016-2020","Number","Margins of Error",38864
"Ashford","0901501430","2016-2020","Ratio to State Median","Median Home Value",0.97
"Ashford","0901501430","2016-2020","Ratio to State Median","Margins of Error",0.14
"Avon","0900302060","2006-2010","Number","Median Home Value",421100
"Avon","0900302060","2006-2010","Number","Margins of Error",20153
"Avon","0900302060","2006-2010","Ratio to State Median","Median Home Value",1.42
"Avon","0900302060","2006-2010","Ratio to State Median","Margins of Error",0.07
"Avon","0900302060","2007-2011","Number","Median Home Value",406500
"Avon","0900302060","2007-2011","Number","Margins of Error",20189
"Avon","0900302060","2007-2011","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2007-2011","Ratio to State Median","Margins of Error",0.07
"Avon","0900302060","2008-2012","Number","Median Home Value",390900
"Avon","0900302060","2008-2012","Number","Margins of Error",17741
"Avon","0900302060","2008-2012","Ratio to State Median","Median Home Value",1.37
"Avon","0900302060","2008-2012","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2009-2013","Number","Median Home Value",378400
"Avon","0900302060","2009-2013","Number","Margins of Error",16258
"Avon","0900302060","2009-2013","Ratio to State Median","Median Home Value",1.36
"Avon","0900302060","2009-2013","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2010-2014","Number","Median Home Value",379000
"Avon","0900302060","2010-2014","Number","Margins of Error",15395
"Avon","0900302060","2010-2014","Ratio to State Median","Median Home Value",1.38
"Avon","0900302060","2010-2014","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2011-2015","Number","Median Home Value",376500
"Avon","0900302060","2011-2015","Number","Margins of Error",15170
"Avon","0900302060","2011-2015","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2011-2015","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2012-2016","Number","Median Home Value",374300
"Avon","0900302060","2012-2016","Number","Margins of Error",14993
"Avon","0900302060","2012-2016","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2012-2016","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2013-2017","Number","Median Home Value",378000
"Avon","0900302060","2013-2017","Number","Margins of Error",10696
"Avon","0900302060","2013-2017","Ratio to State Median","Median Home Value",1.4
"Avon","0900302060","2013-2017","Ratio to State Median","Margins of Error",0.04
"Avon","0900302060","2014-2018","Number","Median Home Value",385100
"Avon","0900302060","2014-2018","Number","Margins of Error",15747
"Avon","0900302060","2014-2018","Ratio to State Median","Median Home Value",1.41
"Avon","0900302060","2014-2018","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2015-2019","Number","Median Home Value",383200
"Avon","0900302060","2015-2019","Number","Margins of Error",15147
"Avon","0900302060","2015-2019","Ratio to State Median","Median Home Value",1.39
"Avon","0900302060","2015-2019","Ratio to State Median","Margins of Error",0.06
"Avon","0900302060","2016-2020","Number","Median Home Value",371900
"Avon","0900302060","2016-2020","Number","Margins of Error",17535
"Avon","0900302060","2016-2020","Ratio to State Median","Median Home Value",1.33
"Avon","0900302060","2016-2020","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2006-2010","Number","Median Home Value",294900
"Barkhamsted","0900502760","2006-2010","Number","Margins of Error",18238
"Barkhamsted","0900502760","2006-2010","Ratio to State Median","Median Home Value",0.99
"Barkhamsted","0900502760","2006-2010","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2007-2011","Number","Median Home Value",283100
"Barkhamsted","0900502760","2007-2011","Number","Margins of Error",21820
"Barkhamsted","0900502760","2007-2011","Ratio to State Median","Median Home Value",0.97
"Barkhamsted","0900502760","2007-2011","Ratio to State Median","Margins of Error",0.07
"Barkhamsted","0900502760","2008-2012","Number","Median Home Value",274500
"Barkhamsted","0900502760","2008-2012","Number","Margins of Error",15231
"Barkhamsted","0900502760","2008-2012","Ratio to State Median","Median Home Value",0.96
"Barkhamsted","0900502760","2008-2012","Ratio to State Median","Margins of Error",0.05
"Barkhamsted","0900502760","2009-2013","Number","Median Home Value",257800
"Barkhamsted","0900502760","2009-2013","Number","Margins of Error",16936
"Barkhamsted","0900502760","2009-2013","Ratio to State Median","Median Home Value",0.92
"Barkhamsted","0900502760","2009-2013","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2010-2014","Number","Median Home Value",255800
"Barkhamsted","0900502760","2010-2014","Number","Margins of Error",20748
"Barkhamsted","0900502760","2010-2014","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2010-2014","Ratio to State Median","Margins of Error",0.08
"Barkhamsted","0900502760","2011-2015","Number","Median Home Value",251500
"Barkhamsted","0900502760","2011-2015","Number","Margins of Error",20553
"Barkhamsted","0900502760","2011-2015","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2011-2015","Ratio to State Median","Margins of Error",0.08
"Barkhamsted","0900502760","2012-2016","Number","Median Home Value",251400
"Barkhamsted","0900502760","2012-2016","Number","Margins of Error",19933
"Barkhamsted","0900502760","2012-2016","Ratio to State Median","Median Home Value",0.93
"Barkhamsted","0900502760","2012-2016","Ratio to State Median","Margins of Error",0.07
"Barkhamsted","0900502760","2013-2017","Number","Median Home Value",258500
"Barkhamsted","0900502760","2013-2017","Number","Margins of Error",17070
"Barkhamsted","0900502760","2013-2017","Ratio to State Median","Median Home Value",0.96
"Barkhamsted","0900502760","2013-2017","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2014-2018","Number","Median Home Value",258500
"Barkhamsted","0900502760","2014-2018","Number","Margins of Error",17015
"Barkhamsted","0900502760","2014-2018","Ratio to State Median","Median Home Value",0.95
"Barkhamsted","0900502760","2014-2018","Ratio to State Median","Margins of Error",0.06
"Barkhamsted","0900502760","2015-2019","Number","Median Home Value",251900
"Barkhamsted","0900502760","2015-2019","Number","Margins of Error",14339
"Barkhamsted","0900502760","2015-2019","Ratio to State Median","Median Home Value",0.91
"Barkhamsted","0900502760","2015-2019","Ratio to State Median","Margins of Error",0.05
"Barkhamsted","0900502760","2016-2020","Number","Median Home Value",262900
"Barkhamsted","0900502760","2016-2020","Number","Margins of Error",15643
"Barkhamsted","0900502760","2016-2020","Ratio to State Median","Median Home Value",0.94
"Barkhamsted","0900502760","2016-2020","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2006-2010","Number","Median Home Value",308800
"Beacon Falls","0900903250","2006-2010","Number","Margins of Error",17779
"Beacon Falls","0900903250","2006-2010","Ratio to State Median","Median Home Value",1.04
"Beacon Falls","0900903250","2006-2010","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2007-2011","Number","Median Home Value",301900
"Beacon Falls","0900903250","2007-2011","Number","Margins of Error",20872
"Beacon Falls","0900903250","2007-2011","Ratio to State Median","Median Home Value",1.03
"Beacon Falls","0900903250","2007-2011","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2008-2012","Number","Median Home Value",270100
"Beacon Falls","0900903250","2008-2012","Number","Margins of Error",21666
"Beacon Falls","0900903250","2008-2012","Ratio to State Median","Median Home Value",0.94
"Beacon Falls","0900903250","2008-2012","Ratio to State Median","Margins of Error",0.08
"Beacon Falls","0900903250","2009-2013","Number","Median Home Value",266600
"Beacon Falls","0900903250","2009-2013","Number","Margins of Error",18073
"Beacon Falls","0900903250","2009-2013","Ratio to State Median","Median Home Value",0.96
"Beacon Falls","0900903250","2009-2013","Ratio to State Median","Margins of Error",0.06
"Beacon Falls","0900903250","2010-2014","Number","Median Home Value",255900
"Beacon Falls","0900903250","2010-2014","Number","Margins of Error",18920
"Beacon Falls","0900903250","2010-2014","Ratio to State Median","Median Home Value",0.93
"Beacon Falls","0900903250","2010-2014","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2011-2015","Number","Median Home Value",233000
"Beacon Falls","0900903250","2011-2015","Number","Margins of Error",17716
"Beacon Falls","0900903250","2011-2015","Ratio to State Median","Median Home Value",0.86
"Beacon Falls","0900903250","2011-2015","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2012-2016","Number","Median Home Value",231800
"Beacon Falls","0900903250","2012-2016","Number","Margins of Error",19691
"Beacon Falls","0900903250","2012-2016","Ratio to State Median","Median Home Value",0.86
"Beacon Falls","0900903250","2012-2016","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2013-2017","Number","Median Home Value",235100
"Beacon Falls","0900903250","2013-2017","Number","Margins of Error",22089
"Beacon Falls","0900903250","2013-2017","Ratio to State Median","Median Home Value",0.87
"Beacon Falls","0900903250","2013-2017","Ratio to State Median","Margins of Error",0.08
"Beacon Falls","0900903250","2014-2018","Number","Median Home Value",253300
"Beacon Falls","0900903250","2014-2018","Number","Margins of Error",20844
"Beacon Falls","0900903250","2014-2018","Ratio to State Median","Median Home Value",0.93
"Beacon Falls","0900903250","2014-2018","Ratio to State Median","Margins of Error",0.08
"Beacon Falls","0900903250","2015-2019","Number","Median Home Value",257200
"Beacon Falls","0900903250","2015-2019","Number","Margins of Error",20334
"Beacon Falls","0900903250","2015-2019","Ratio to State Median","Median Home Value",0.93
"Beacon Falls","0900903250","2015-2019","Ratio to State Median","Margins of Error",0.07
"Beacon Falls","0900903250","2016-2020","Number","Median Home Value",251600
"Beacon Falls","0900903250","2016-2020","Number","Margins of Error",21791
"Beacon Falls","0900903250","2016-2020","Ratio to State Median","Median Home Value",0.9
"Beacon Falls","0900903250","2016-2020","Ratio to State Median","Margins of Error",0.08
"Berlin","0900304300","2006-2010","Number","Median Home Value",297300
"Berlin","0900304300","2006-2010","Number","Margins of Error",9109
"Berlin","0900304300","2006-2010","Ratio to State Median","Median Home Value",1
"Berlin","0900304300","2006-2010","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2007-2011","Number","Median Home Value",294600
"Berlin","0900304300","2007-2011","Number","Margins of Error",6374
"Berlin","0900304300","2007-2011","Ratio to State Median","Median Home Value",1.01
"Berlin","0900304300","2007-2011","Ratio to State Median","Margins of Error",0.02
"Berlin","0900304300","2008-2012","Number","Median Home Value",297100
"Berlin","0900304300","2008-2012","Number","Margins of Error",8421
"Berlin","0900304300","2008-2012","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2008-2012","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2009-2013","Number","Median Home Value",291700
"Berlin","0900304300","2009-2013","Number","Margins of Error",7178
"Berlin","0900304300","2009-2013","Ratio to State Median","Median Home Value",1.05
"Berlin","0900304300","2009-2013","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2010-2014","Number","Median Home Value",286800
"Berlin","0900304300","2010-2014","Number","Margins of Error",6756
"Berlin","0900304300","2010-2014","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2010-2014","Ratio to State Median","Margins of Error",0.02
"Berlin","0900304300","2011-2015","Number","Median Home Value",287600
"Berlin","0900304300","2011-2015","Number","Margins of Error",8127
"Berlin","0900304300","2011-2015","Ratio to State Median","Median Home Value",1.06
"Berlin","0900304300","2011-2015","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2012-2016","Number","Median Home Value",288000
"Berlin","0900304300","2012-2016","Number","Margins of Error",7338
"Berlin","0900304300","2012-2016","Ratio to State Median","Median Home Value",1.07
"Berlin","0900304300","2012-2016","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2013-2017","Number","Median Home Value",281100
"Berlin","0900304300","2013-2017","Number","Margins of Error",6704
"Berlin","0900304300","2013-2017","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2013-2017","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2014-2018","Number","Median Home Value",284300
"Berlin","0900304300","2014-2018","Number","Margins of Error",7058
"Berlin","0900304300","2014-2018","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2014-2018","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2015-2019","Number","Median Home Value",283300
"Berlin","0900304300","2015-2019","Number","Margins of Error",6921
"Berlin","0900304300","2015-2019","Ratio to State Median","Median Home Value",1.03
"Berlin","0900304300","2015-2019","Ratio to State Median","Margins of Error",0.03
"Berlin","0900304300","2016-2020","Number","Median Home Value",291600
"Berlin","0900304300","2016-2020","Number","Margins of Error",7928
"Berlin","0900304300","2016-2020","Ratio to State Median","Median Home Value",1.04
"Berlin","0900304300","2016-2020","Ratio to State Median","Margins of Error",0.03
"Bethany","0900904580","2006-2010","Number","Median Home Value",422500
"Bethany","0900904580","2006-2010","Number","Margins of Error",27165
"Bethany","0900904580","2006-2010","Ratio to State Median","Median Home Value",1.42
"Bethany","0900904580","2006-2010","Ratio to State Median","Margins of Error",0.09
"Bethany","0900904580","2007-2011","Number","Median Home Value",398100
"Bethany","0900904580","2007-2011","Number","Margins of Error",25747
"Bethany","0900904580","2007-2011","Ratio to State Median","Median Home Value",1.36
"Bethany","0900904580","2007-2011","Ratio to State Median","Margins of Error",0.09
"Bethany","0900904580","2008-2012","Number","Median Home Value",380800
"Bethany","0900904580","2008-2012","Number","Margins of Error",21002
"Bethany","0900904580","2008-2012","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2008-2012","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2009-2013","Number","Median Home Value",370400
"Bethany","0900904580","2009-2013","Number","Margins of Error",23676
"Bethany","0900904580","2009-2013","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2009-2013","Ratio to State Median","Margins of Error",0.08
"Bethany","0900904580","2010-2014","Number","Median Home Value",348300
"Bethany","0900904580","2010-2014","Number","Margins of Error",18555
"Bethany","0900904580","2010-2014","Ratio to State Median","Median Home Value",1.27
"Bethany","0900904580","2010-2014","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2011-2015","Number","Median Home Value",340900
"Bethany","0900904580","2011-2015","Number","Margins of Error",17925
"Bethany","0900904580","2011-2015","Ratio to State Median","Median Home Value",1.26
"Bethany","0900904580","2011-2015","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2012-2016","Number","Median Home Value",343500
"Bethany","0900904580","2012-2016","Number","Margins of Error",21985
"Bethany","0900904580","2012-2016","Ratio to State Median","Median Home Value",1.28
"Bethany","0900904580","2012-2016","Ratio to State Median","Margins of Error",0.08
"Bethany","0900904580","2013-2017","Number","Median Home Value",359100
"Bethany","0900904580","2013-2017","Number","Margins of Error",20141
"Bethany","0900904580","2013-2017","Ratio to State Median","Median Home Value",1.33
"Bethany","0900904580","2013-2017","Ratio to State Median","Margins of Error",0.07
"Bethany","0900904580","2014-2018","Number","Median Home Value",352700
"Bethany","0900904580","2014-2018","Number","Margins of Error",22683
"Bethany","0900904580","2014-2018","Ratio to State Median","Median Home Value",1.29
"Bethany","0900904580","2014-2018","Ratio to State Median","Margins of Error",0.08
"Bethany","0900904580","2015-2019","Number","Median Home Value",381500
"Bethany","0900904580","2015-2019","Number","Margins of Error",25368
"Bethany","0900904580","2015-2019","Ratio to State Median","Median Home Value",1.39
"Bethany","0900904580","2015-2019","Ratio to State Median","Margins of Error",0.09
"Bethany","0900904580","2016-2020","Number","Median Home Value",408900
"Bethany","0900904580","2016-2020","Number","Margins of Error",30968
"Bethany","0900904580","2016-2020","Ratio to State Median","Median Home Value",1.46
"Bethany","0900904580","2016-2020","Ratio to State Median","Margins of Error",0.11
"Bethel","0900104720","2006-2010","Number","Median Home Value",366300
"Bethel","0900104720","2006-2010","Number","Margins of Error",8401
"Bethel","0900104720","2006-2010","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2006-2010","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2007-2011","Number","Median Home Value",359200
"Bethel","0900104720","2007-2011","Number","Margins of Error",8325
"Bethel","0900104720","2007-2011","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2007-2011","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2008-2012","Number","Median Home Value",353600
"Bethel","0900104720","2008-2012","Number","Margins of Error",8479
"Bethel","0900104720","2008-2012","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2008-2012","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2009-2013","Number","Median Home Value",342400
"Bethel","0900104720","2009-2013","Number","Margins of Error",9248
"Bethel","0900104720","2009-2013","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2009-2013","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2010-2014","Number","Median Home Value",337000
"Bethel","0900104720","2010-2014","Number","Margins of Error",10093
"Bethel","0900104720","2010-2014","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2010-2014","Ratio to State Median","Margins of Error",0.04
"Bethel","0900104720","2011-2015","Number","Median Home Value",329700
"Bethel","0900104720","2011-2015","Number","Margins of Error",9080
"Bethel","0900104720","2011-2015","Ratio to State Median","Median Home Value",1.22
"Bethel","0900104720","2011-2015","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2012-2016","Number","Median Home Value",335800
"Bethel","0900104720","2012-2016","Number","Margins of Error",9592
"Bethel","0900104720","2012-2016","Ratio to State Median","Median Home Value",1.25
"Bethel","0900104720","2012-2016","Ratio to State Median","Margins of Error",0.04
"Bethel","0900104720","2013-2017","Number","Median Home Value",333900
"Bethel","0900104720","2013-2017","Number","Margins of Error",8357
"Bethel","0900104720","2013-2017","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2013-2017","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2014-2018","Number","Median Home Value",338800
"Bethel","0900104720","2014-2018","Number","Margins of Error",6794
"Bethel","0900104720","2014-2018","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2014-2018","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2015-2019","Number","Median Home Value",342400
"Bethel","0900104720","2015-2019","Number","Margins of Error",8840
"Bethel","0900104720","2015-2019","Ratio to State Median","Median Home Value",1.24
"Bethel","0900104720","2015-2019","Ratio to State Median","Margins of Error",0.03
"Bethel","0900104720","2016-2020","Number","Median Home Value",344500
"Bethel","0900104720","2016-2020","Number","Margins of Error",9279
"Bethel","0900104720","2016-2020","Ratio to State Median","Median Home Value",1.23
"Bethel","0900104720","2016-2020","Ratio to State Median","Margins of Error",0.03
"Bethlehem","0900504930","2006-2010","Number","Median Home Value",407900
"Bethlehem","0900504930","2006-2010","Number","Margins of Error",24874
"Bethlehem","0900504930","2006-2010","Ratio to State Median","Median Home Value",1.38
"Bethlehem","0900504930","2006-2010","Ratio to State Median","Margins of Error",0.08
"Bethlehem","0900504930","2007-2011","Number","Median Home Value",388600
"Bethlehem","0900504930","2007-2011","Number","Margins of Error",26634
"Bethlehem","0900504930","2007-2011","Ratio to State Median","Median Home Value",1.33
"Bethlehem","0900504930","2007-2011","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2008-2012","Number","Median Home Value",365900
"Bethlehem","0900504930","2008-2012","Number","Margins of Error",26238
"Bethlehem","0900504930","2008-2012","Ratio to State Median","Median Home Value",1.28
"Bethlehem","0900504930","2008-2012","Ratio to State Median","Margins of Error",0.09
"Bethlehem","0900504930","2009-2013","Number","Median Home Value",360900
